prev,dens,urb,rur,y
133003,1102,11758016,92341436,135035
135035,1102,11758016,92341436,136457
136457,1102,11758016,92341436,138349
138349,1102,11758016,92341436,141441
141441,1102,11758016,92341436,142967
142967,1102,11758016,92341436,144104
144104,1102,11758016,92341436,145832
145832,1102,11758016,92341436,147661
147661,1102,11758016,92341436,149027
149027,1102,11758016,92341436,150502
150502,1102,11758016,92341436,152192
152192,1102,11758016,92341436,153568
153568,1102,11758016,92341436,155445
155445,1102,11758016,92341436,156703
156703,1102,11758016,92341436,158285
158285,1102,11758016,92341436,160366
160366,1102,11758016,92341436,160871
160871,1102,11758016,92341436,162463
1,9252,1026459,28991,1
1,9252,1026459,28991,1
1,9252,1026459,28991,5
5,9252,1026459,28991,6
6,9252,1026459,28991,7
7,9252,1026459,28991,7
7,9252,1026459,28991,7
7,9252,1026459,28991,7
7,9252,1026459,28991,8
8,9252,1026459,28991,8
8,9252,1026459,28991,8
8,9252,1026459,28991,13
13,9252,1026459,28991,16
16,9252,1026459,28991,16
16,9252,1026459,28991,18
18,9252,1026459,28991,18
18,9252,1026459,28991,18
18,9252,1026459,28991,18
18,9252,1026459,28991,18
18,9252,1026459,28991,18
18,9252,1026459,28991,18
18,9252,1026459,28991,18
18,9252,1026459,28991,18
18,9252,1026459,28991,19
19,9252,1026459,28991,21
21,9252,1026459,28991,21
21,9252,1026459,28991,21
21,9252,1026459,28991,21
21,9252,1026459,28991,21
21,9252,1026459,28991,21
21,9252,1026459,28991,23
23,9252,1026459,28991,26
26,9252,1026459,28991,26
26,9252,1026459,28991,27
27,9252,1026459,28991,27
27,9252,1026459,28991,27
27,9252,1026459,28991,28
28,9252,1026459,28991,30
30,9252,1026459,28991,30
30,9252,1026459,28991,40
40,9252,1026459,28991,56
56,9252,1026459,28991,56
56,9252,1026459,28991,56
56,9252,1026459,28991,88
88,9252,1026459,28991,94
94,9252,1026459,28991,94
94,9252,1026459,28991,102
102,9252,1026459,28991,111
111,9252,1026459,28991,120
120,9252,1026459,28991,135
135,9252,1026459,28991,150
150,9252,1026459,28991,169
169,9252,1026459,28991,169
169,9252,1026459,28991,174
174,9252,1026459,28991,187
187,9252,1026459,28991,187
187,9252,1026459,28991,191
191,9252,1026459,28991,191
191,9252,1026459,28991,191
191,9252,1026459,28991,191
191,9252,1026459,28991,196
196,9252,1026459,28991,200
200,9252,1026459,28991,202
202,9252,1026459,28991,217
217,9252,1026459,28991,218
218,9252,1026459,28991,225
225,9252,1026459,28991,238
238,9252,1026459,28991,238
238,9252,1026459,28991,266
266,9252,1026459,28991,279
